epoch,accuracy,loss,precision_3,recall_3,val_accuracy,val_loss,val_precision_3,val_recall_3
0,0.09664209932088852,0.4642443060874939,0.1111111119389534,0.004914004821330309,0.1993464082479477,0.46388259530067444,0.0,0.0
1,0.10483210533857346,0.45486411452293396,0.0,0.0,0.08496732264757156,0.45889899134635925,0.0,0.0
2,0.09582309424877167,0.4523871839046478,0.0,0.0,0.013071895577013493,0.45739710330963135,0.0,0.0
3,0.1040131077170372,0.4516617953777313,0.0,0.0,0.12745098769664764,0.45735418796539307,0.0,0.0
4,0.10728910565376282,0.45183420181274414,0.0,0.0,0.013071895577013493,0.45416542887687683,0.0,0.0
5,0.1146601140499115,0.45183947682380676,0.0,0.0,0.1437908560037613,0.45374608039855957,0.0,0.0
6,0.10810811072587967,0.45188814401626587,0.0,0.0,0.1111111119389534,0.4538121521472931,0.0,0.0
7,0.1359541416168213,0.4508956968784332,0.0,0.0,0.022875817492604256,0.45680052042007446,0.0,0.0
8,0.08927109092473984,0.4503729045391083,0.0,0.0,0.04901960864663124,0.4545847177505493,0.0,0.0
9,0.10728910565376282,0.45052003860473633,0.0,0.0,0.1437908560037613,0.4515245258808136,0.0,0.0
